SP500: adf_stat=1.019510664078886, p=0.9944676020278383
NASDAQ100: adf_stat=1.0585930149956804, p=0.9948472667553364
DOWJONES: adf_stat=0.37326981807265064, p=0.9804673342610739
INFLATION_TIP: adf_stat=-0.8040672742752119, p=0.8179244160272952
USD_INDEX: adf_stat=-1.6096630063820272, p=0.47873784987874823
10YR_YIELD: adf_stat=-0.6890697035667345, p=0.8495604530032017
VIX: adf_stat=-4.1563646433861905, p=0.0007803817089033634
CRUDE_OIL: adf_stat=-2.293736756055715, p=0.1739959501015091
GOLD: adf_stat=0.8597030557880061, p=0.9925412488783999
